PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
Rahat Ali,2012-2016,14,7,4,8,6*,2.66,37,21.62,0,0,2,0,0
Ramiz Raja,1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,469+,14+
Rashid Khan,1980-1985,29,15,7,110,17,13.75,173,63.58,0,0,0,2+,0
Rashid Latif,1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8,125,18
Raza Hasan,2014-2014,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
Rizwan-uz-Zaman,1981-1987,3,3,0,20,14,6.66,129,15.50,0,0,0,1,0
Rizwan Ahmed,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Rumman Raees,2017-2018,9,4,1,27,16,9.00,24,112.50,0,0,1,5,0
Saadat Ali,1984-1984,8,7,1,184,78*,30.66,341,53.95,0,1,0,13,0
Saad Ali,2019-2019,2,2,0,11,7,5.50,23,47.82,0,0,0,0,0
Saad Nasim,2015-2015,3,3,1,99,77*,49.50,124,79.83,0,1,1,9,1
Sadiq Mohammad,1973-1980,19,19,1,383,74,21.27,755,50.72,0,2,0,39+,1+
Saeed Ajmal,2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11,25,0
Saeed Anwar,1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97
Saeed Azad,1995-1996,4,4,0,65,31,16.25,131,49.61,0,0,0,7,0
Sajid Ali,1984-1997,13,12,0,130,28,10.83,293,44.36,0,0,0,10,0
Sajjad Akbar,1990-1990,2,1,0,5,5,5.00,9,55.55,0,0,0,0,0
Saleem Altaf,1973-1978,6,2,1,25,21,25.00,53,47.16,0,0,0,0,1
Saleem Elahi,1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3,162,9
Saleem Jaffar,1986-1990,39,13,11,36,10*,18.00,73,49.31,0,0,2,0,0
Saleem Malik,1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514+,34+
Saleem Pervez,1980-1980,1,1,0,18,18,18.00,39,46.15,0,0,0,-,-
Saleem Yousuf,1982-1990,86,62,19,768,62,17.86,1024,75.00,0,4,5,52+,6+
Salman Butt,2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,343,7
Samiullah Khan,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-
Sami Aslam,2015-2016,4,4,0,78,45,19.50,117,66.66,0,0,0,9,0
Saqlain Mushtaq,1995-2003,169,98,38,711,37*,11.85,1434,49.58,0,0,13,45,4
Sarfaraz Ahmed,2007-2021,117,91,22,2315,105,33.55,2635,87.85,2,11,1,174,12
Sarfraz Nawaz,1973-1984,45,31,8,221,34*,9.60,345,64.05,0,0,5,16+,1+
Saud Shakeel,2021-2022,5,4,1,67,56,22.33,101,66.33,0,1,0,5,0
Shabbir Ahmed,1999-2005,32,11,5,10,2,1.66,29,34.48,0,0,0,0,0
Shadab Kabir,1996-1996,3,3,0,0,0,0.00,5,0.00,0,0,3,0,0
Shadab Khan,2017-2022,53,31,10,596,86,28.38,745,80.00,0,4,3,35,12
Shafiq Ahmed,1977-1978,3,3,0,41,29,13.66,91,45.05,0,0,0,2,0
Shaheen Shah Afridi,2018-2022,32,16,10,102,19*,17.00,149,68.45,0,0,2,9,2
Shahid Afridi,1996-2015,393,364,27,8027,124,23.81,6864,116.94,6,39,29,725,349
Shahid Anwar,1996-1996,1,1,0,37,37,37.00,44,84.09,0,0,0,6,0
Shahid Mahboob,1982-1984,10,6,1,119,77,23.80,194,61.34,0,1,1,9,0
Shahid Nazir,1996-2000,17,8,7,25,8,25.00,43,58.13,0,0,0,3,0
Shahid Saeed,1989-1993,10,10,0,141,50,14.10,316,44.62,0,1,0,7,1
Shahnawaz Dahani,2022-2022,2,2,2,4,4*,-,3,133.33,0,0,0,0,0
Shahzaib Hasan,2010-2010,3,3,0,100,50,33.33,113,88.49,0,1,0,13,2
Shakeel Ahmed,1995-1995,2,2,0,61,36,30.50,128,47.65,0,0,0,3,0
Shakeel Khan,1987-1987,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
Shan Masood,2019-2019,5,5,0,111,50,22.20,145,76.55,0,1,1,12,0
Sharjeel Khan,2013-2017,25,25,0,812,152,32.48,716,113.40,1,6,2,104,28
Shoaib Akhtar,1998-2011,158,80,39,361,43,8.80,508,71.06,0,0,11,26,10
Shoaib Malik,1999-2019,287,258,40,7534,143,34.55,9199,81.90,9,44,15,603,113
Shoaib Mohammad,1984-1993,63,58,6,1269,126*,24.40,2492,50.92,1,8,8,97+,2+
Sikander Bakht,1977-1989,27,11,7,31,16*,7.75,97,31.95,0,0,2,3,0
Sohaib Maqsood,2013-2021,29,28,2,781,89*,30.03,935,83.52,0,5,1,61,19
Sohail Fazal,1989-1989,2,2,0,56,32,28.00,59,94.91,0,0,0,2,3
Sohail Khan,2008-2016,13,6,1,25,7,5.00,51,49.01,0,0,0,2,0
Sohail Tanvir,2007-2014,62,40,11,399,59,13.75,458,87.11,0,1,3,44,6
Tahir Naqqash,1980-1985,40,23,9,210,61,15.00,242,86.77,0,1,4,11,3
Tanvir Ahmed,2011-2011,2,1,0,18,18,18.00,12,150.00,0,0,0,1,2
Tanvir Mehdi,1992-1992,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0
Taslim Arif,1980-1980,2,2,0,28,24,14.00,58,48.27,0,0,0,-,0+
Taufeeq Umar,2001-2011,22,22,1,504,81*,24.00,895,56.31,0,3,0,51,2
Tauseef Ahmed,1982-1990,70,25,14,116,27*,10.54,216,53.70,0,0,3,3,0
Umar Akmal,2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8,268,53
Umar Amin,2010-2018,16,16,1,271,59,18.06,392,69.13,0,1,0,28,2
Umar Gul,2003-2016,130,65,18,457,39,9.72,642,71.18,0,0,10,36,14
Usman Qadir,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
Usman Salahuddin,2011-2011,2,2,0,13,8,6.50,28,46.42,0,0,0,0,0
Usman Shinwari,2017-2019,17,4,1,6,6,2.00,7,85.71,0,0,2,0,1
Wahab Riaz,2008-2020,91,66,15,740,54*,14.50,849,87.16,0,3,12,55,30
Wajahatullah Wasti,1999-2000,15,15,0,349,84,23.26,713,48.94,0,1,1,38,2
Waqar Younis,1989-2003,262,139,45,969,37,10.30,1445,67.05,0,0,15,58,21
Wasim Akram,1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28,247+,121+
Wasim Bari,1973-1984,51,26,13,221,34,17.00,431,51.27,0,0,0,11+,0+
Wasim Haider,1992-1992,3,2,0,26,13,13.00,70,37.14,0,0,0,1,0
Wasim Raja,1973-1985,54,45,10,782,60,22.34,1168,66.95,0,2,6,58+,11+
Yasir Arafat,2000-2009,11,8,3,74,27,14.80,110,67.27,0,0,0,7,1
Yasir Hameed,2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2,219,6
Yasir Shah,2011-2019,25,13,6,127,32*,18.14,149,85.23,0,0,2,9,1
Younis Ahmed,1987-1987,2,2,0,84,58,42.00,151,55.62,0,1,0,6,0
Younis Khan,2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22,578,56
Zafar Gohar,2015-2015,1,1,0,15,15,15.00,15,100.00,0,0,0,0,1
Zafar Iqbal,1995-1995,8,6,0,48,18,8.00,62,77.41,0,0,1,2,1
Zaheer Abbas,1974-1985,62,60,6,2572,123,47.62,3033,84.80,7,13,2,213+,22+
Zahid Ahmed,1987-1987,2,2,1,3,3*,3.00,13,23.07,0,0,1,0,0
Zahid Fazal,1990-1994,19,18,3,348,98*,23.20,584,59.58,0,2,0,21,3
Zahid Mahmood,2022-2022,4,2,1,9,9,9.00,10,90.00,0,0,0,0,1
Zahoor Elahi,1996-1997,14,14,1,297,86,22.84,507,58.57,0,3,3,25,6
Zakir Khan,1984-1990,17,5,4,27,11*,27.00,63,42.85,0,0,0,0+,0
Zulfiqar Babar,2014-2015,5,5,3,35,14*,17.50,40,87.50,0,0,0,2,1
Zulqarnain,1985-1989,16,6,3,18,11*,6.00,30,60.00,0,0,2,0,1
Zulqarnain Haider,2010-2010,4,4,2,48,19*,24.00,68,70.58,0,0,0,3,0
